user_id,sleep_date,TotalSleepRecords,TotalMinutesAsleep,TotalTimeInBed,SleepEfficiency,activity_date,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
1503960366,2016-04-12,1,327,346,0.9450867052023122,2016-04-11,13162,8.5,1985,25,13,328,728
1503960366,2016-04-13,2,384,407,0.9434889434889435,2016-04-12,10735,6.96999979019165,1797,21,19,217,776
1503960366,2016-04-15,1,412,442,0.9321266968325792,2016-04-14,9762,6.28000020980835,1745,29,34,209,726
1503960366,2016-04-16,2,340,367,0.9264305177111717,2016-04-15,12669,8.15999984741211,1863,36,10,221,773
1503960366,2016-04-17,1,700,712,0.9831460674157303,2016-04-16,9705,6.48000001907349,1728,38,20,164,539
1503960366,2016-04-19,1,304,320,0.95,2016-04-18,15506,9.88000011444092,2035,50,31,264,775
1503960366,2016-04-20,1,360,377,0.9549071618037135,2016-04-19,10544,6.67999982833862,1786,28,12,205,818
1503960366,2016-04-21,1,325,364,0.8928571428571429,2016-04-20,9819,6.34000015258789,1775,19,8,211,838
1503960366,2016-04-23,1,361,384,0.9401041666666666,2016-04-22,14371,9.03999996185303,1949,41,21,262,732
1503960366,2016-04-24,1,430,449,0.9576837416481069,2016-04-23,10039,6.40999984741211,1788,39,5,238,709
1503960366,2016-04-25,1,277,323,0.8575851393188855,2016-04-24,15355,9.80000019073486,2013,73,14,216,814
1503960366,2016-04-26,1,245,274,0.8941605839416058,2016-04-25,13755,8.78999996185303,1970,31,23,279,833
1503960366,2016-04-28,1,366,393,0.9312977099236641,2016-04-27,13154,8.52999973297119,1898,48,28,189,782
1503960366,2016-04-29,1,341,354,0.963276836158192,2016-04-28,11181,7.15000009536743,1837,16,12,243,815
1503960366,2016-04-30,1,404,425,0.9505882352941176,2016-04-29,14673,9.25,1947,52,34,217,712
1503960366,2016-05-01,1,369,396,0.9318181818181818,2016-04-30,10602,6.80999994277954,1820,33,35,246,730
1503960366,2016-05-02,1,277,309,0.8964401294498382,2016-05-01,14727,9.71000003814697,2004,41,15,277,798
1503960366,2016-05-03,1,273,296,0.9222972972972973,2016-05-02,15103,9.65999984741211,1990,50,24,254,816
1503960366,2016-05-05,1,247,264,0.9356060606060606,2016-05-04,14070,8.89999961853027,1959,45,24,250,857
1503960366,2016-05-06,1,334,367,0.9100817438692098,2016-05-05,12159,8.02999973297119,1896,24,6,289,754
1503960366,2016-05-07,1,331,349,0.9484240687679083,2016-05-06,11992,7.71000003814697,1821,37,46,175,833
1503960366,2016-05-08,1,594,611,0.972176759410802,2016-05-07,10060,6.57999992370605,1740,44,8,203,574
1503960366,2016-05-09,1,338,342,0.9883040935672515,2016-05-08,12022,7.71999979019165,1819,46,11,206,835
1503960366,2016-05-10,1,383,403,0.9503722084367245,2016-05-09,12207,7.76999998092651,1859,46,31,214,746
1503960366,2016-05-11,1,285,306,0.9313725490196079,2016-05-10,12770,8.13000011444092,1783,36,23,251,669
1644430081,2016-04-29,1,119,127,0.937007874015748,2016-04-28,3176,2.30999994277954,2498,0,0,120,1193
1644430081,2016-04-30,1,124,142,0.8732394366197183,2016-04-29,18213,13.2399997711182,3846,9,71,402,816
1644430081,2016-05-02,1,796,961,0.8283038501560874,2016-05-01,3758,2.73000001907349,2580,1,7,148,682
1644430081,2016-05-08,1,137,154,0.8896103896103896,2016-05-07,6724,4.8899998664856,2987,0,0,295,991
1844505072,2016-04-15,1,644,961,0.6701352757544224,2016-04-14,3844,2.53999996185303,1725,0,0,176,527
1844505072,2016-04-30,1,722,961,0.7513007284079084,2016-04-29,4014,2.67000007629395,1763,0,0,184,218
1844505072,2016-05-01,1,590,961,0.6139438085327783,2016-04-30,2573,1.70000004768372,1541,0,7,75,585
1927972279,2016-04-12,3,750,775,0.967741935483871,2016-04-11,678,0.469999998807907,2220,0,0,55,734
1927972279,2016-04-13,1,398,422,0.943127962085308,2016-04-12,356,0.25,2151,0,0,32,986
1927972279,2016-04-15,2,475,499,0.9519038076152304,2016-04-14,980,0.680000007152557,2221,0,0,51,941
1927972279,2016-04-26,1,296,315,0.9396825396825397,2016-04-25,3761,2.59999990463257,2638,0,0,192,1058
1927972279,2016-04-28,1,166,178,0.9325842696629213,2016-04-27,1675,1.1599999666214,2351,0,0,95,1167
2026352035,2016-04-12,1,503,546,0.9212454212454212,2016-04-11,4414,2.74000000953674,1459,3,8,181,706
2026352035,2016-04-13,1,531,565,0.9398230088495575,2016-04-12,4993,3.09999990463257,1521,0,0,238,663
2026352035,2016-04-14,1,545,568,0.9595070422535211,2016-04-13,3335,2.0699999332428,1431,0,0,197,653
2026352035,2016-04-15,1,523,573,0.912739965095986,2016-04-14,3821,2.36999988555908,1444,0,0,188,687
2026352035,2016-04-16,1,524,567,0.9241622574955908,2016-04-15,2547,1.58000004291534,1373,0,0,150,728
2026352035,2016-04-17,1,437,498,0.8775100401606426,2016-04-16,838,0.519999980926514,1214,0,0,60,1053
2026352035,2016-04-19,1,498,540,0.9222222222222223,2016-04-18,2424,1.5,1356,0,0,141,785
2026352035,2016-04-20,1,461,510,0.903921568627451,2016-04-19,7222,4.48000001907349,1667,0,0,327,623
2026352035,2016-04-21,1,477,514,0.9280155642023347,2016-04-20,2467,1.52999997138977,1370,0,0,153,749
2026352035,2016-04-22,1,520,545,0.9541284403669725,2016-04-21,2915,1.80999994277954,1399,0,0,162,712
2026352035,2016-04-23,1,522,554,0.9422382671480144,2016-04-22,12357,7.71000003814697,1916,0,0,432,458
2026352035,2016-04-24,1,555,591,0.9390862944162437,2016-04-23,3490,2.16000008583069,1401,0,0,164,704
2026352035,2016-04-25,1,506,531,0.9529190207156308,2016-04-24,6017,3.73000001907349,1576,0,0,260,821
2026352035,2016-04-27,1,508,545,0.9321100917431193,2016-04-26,6088,3.76999998092651,1593,0,0,286,586
2026352035,2016-04-28,1,513,545,0.9412844036697248,2016-04-27,6375,3.95000004768372,1649,0,0,331,626
2026352035,2016-04-29,1,490,510,0.9607843137254902,2016-04-28,7604,4.71000003814697,1692,0,0,352,492
2026352035,2016-04-30,1,573,607,0.943986820428336,2016-04-29,4729,2.9300000667572,1506,0,0,233,594
2026352035,2016-05-01,1,527,546,0.9652014652014652,2016-04-30,3609,2.27999997138977,1447,0,0,191,716
2026352035,2016-05-02,1,511,543,0.9410681399631676,2016-05-01,7018,4.34999990463257,1690,0,0,355,716
2026352035,2016-05-04,1,538,560,0.9607142857142857,2016-05-03,6564,4.07000017166138,1658,0,0,345,530
2026352035,2016-05-05,1,468,485,0.9649484536082474,2016-05-04,12167,7.53999996185303,1926,0,0,475,479
2026352035,2016-05-06,1,524,548,0.9562043795620438,2016-05-05,8198,5.07999992370605,1736,0,0,383,511
2026352035,2016-05-07,1,511,521,0.980806142034549,2016-05-06,4193,2.59999990463257,1491,0,0,229,665
2026352035,2016-05-08,1,541,568,0.9524647887323944,2016-05-07,5528,3.45000004768372,1555,0,0,258,610
2026352035,2016-05-09,1,531,556,0.9550359712230215,2016-05-08,10685,6.61999988555908,1869,0,0,401,543
2026352035,2016-05-10,1,357,380,0.9394736842105263,2016-05-09,254,0.159999996423721,1141,0,0,17,1002
